时间,模型,积分消耗,当前余额积分
03-07 13:59:27,gpt-4o-mini,128,96152
03-07 13:57:03,gpt-4o-mini,121,96273
03-07 13:55:41,gpt-4o-mini,120,96393
03-07 13:54:43,gpt-4o-mini,117,96510
03-07 13:53:42,gpt-4o-mini,99,96609
03-07 13:50:00,gpt-4o-mini,82,96691
03-07 06:21:55,gpt-4o-mini,77,96768
03-07 06:20:45,gpt-4o-mini,79,96847
03-07 06:16:03,gpt-4o-mini,78,96925
03-07 06:14:40,gpt-4o-mini,72,96997
03-07 06:03:19,gpt-4o-mini,3,97000
03-07 06:03:11,deepseek-r1,21,97021
03-07 06:00:11,gpt-4o-mini,67,97088
03-07 05:57:30,gpt-4o-mini,58,97146
03-07 05:56:08,gpt-4o-mini,52,97198
03-07 05:55:13,gpt-4o-mini,39,97237
03-06 21:43:06,gpt-4o-mini,26,97263
03-06 21:42:23,deepseek-v3,117,97380
03-06 21:38:48,deepseek-v3,148,97528
03-06 21:39:22,gpt-4o-mini,21,97549
03-06 21:38:30,chatgpt-4o-latest,4706,102255
03-06 21:34:39,gpt-4o-mini,20,102275
03-06 21:34:20,chatgpt-4o-latest,3201,105476
03-06 21:27:04,gpt-4o-mini,18,105494
03-06 21:26:04,chatgpt-4o-latest,3413,108907
03-06 21:12:28,gpt-4o-mini,10,108917
03-06 21:11:39,chatgpt-4o-latest,1951,110868
03-06 21:11:28,gpt-4o-mini,8,110876
03-06 21:11:24,chatgpt-4o-latest,405,111281
03-06 21:11:16,gpt-4o-mini,6,111287
03-06 21:10:43,chatgpt-4o-latest,383,111670
03-06 21:03:32,gpt-4o-mini,3,111673
03-06 21:03:25,chatgpt-4o-latest,554,112227
03-06 21:03:07,chatgpt-4o-latest,127,112354
03-06 21:02:59,deepseek-v3,55,112409
03-06 21:01:15,chatgpt-4o-latest,87,112496
03-06 21:01:10,chatgpt-4o-latest,93,112589
03-06 21:00:56,gpt-4o-mini,1,112590
03-06 21:00:46,chatgpt-4o-latest,20,112610
03-06 20:38:32,deepseek-v3,91,112701
03-06 20:15:22,gpt-4o-mini,9,112710
03-06 20:14:50,deepseek-v3,55,112765
03-06 20:10:54,deepseek-v3,96,112861
03-06 19:56:36,gpt-4o-mini,11,112872
03-06 19:55:41,deepseek-v3,48,112920
03-06 16:50:10,gpt-4o-mini,2,112922
03-06 16:26:35,pay,-100000,12922
03-06 16:23:48,chatgpt-4o-latest,18,12940
03-06 16:05:31,gpt-4o-mini,4,12944
03-06 16:04:27,deepseek-v3,89,13033
03-06 16:03:36,deepseek-v3,44,13077
03-06 16:03:01,deepseek-v3,38,13115
03-06 16:03:04,deepseek-v3,2,13117
03-06 15:55:50,deepseek-v3,4,13121
03-06 15:50:04,gpt-4o-mini,2,13123
03-06 15:49:54,deepseek-v3,2,13125
03-06 14:40:54,gpt-4o-mini,31,13156
03-06 14:40:01,deepseek-v3,79,13235
03-06 11:20:06,gpt-4o-mini,3,13238
03-06 11:19:56,deepseek-r1,23,13261
03-05 23:26:50,deepseek-v3,66,13327
03-05 21:20:43,gpt-4o-mini,14,13341
03-05 21:19:11,deepseek-v3,89,13430
03-05 21:16:21,gpt-4o-mini,10,13440
03-05 21:15:30,deepseek-v3,43,13483
03-05 21:14:45,gpt-4o-mini,11,13494
03-05 21:13:31,deepseek-v3,96,13590
03-05 21:11:52,deepseek-v3,82,13672
03-05 16:01:15,gpt-4o-mini,12,13684
03-05 16:00:20,deepseek-r1,203,13887
03-05 15:27:40,gpt-4o-mini,8,13895
03-05 12:47:00,gpt-4o-mini,7,13902
03-05 12:46:26,deepseek-r1,134,14036
03-05 12:27:10,gpt-4o-mini,79,14115
03-05 12:25:56,deepseek-v3,141,14256
03-05 12:23:53,gpt-4o-mini,67,14323
03-05 12:22:51,deepseek-v3,123,14446
03-05 12:18:26,gpt-4o-mini,58,14504
03-05 12:17:37,deepseek-v3,104,14608
03-05 12:16:56,gpt-4o-mini,54,14662
03-05 12:15:30,deepseek-v3,107,14769
03-05 12:11:42,deepseek-v3,71,14840
03-05 12:09:19,deepseek-v3,49,14889
03-05 12:06:00,gpt-4o-mini,4,14893
03-05 12:05:42,deepseek-v3,23,14916
03-05 12:02:27,gpt-4o-mini,1,14917
03-05 12:02:25,deepseek-r1,5,14922
03-05 11:27:29,gpt-4o-mini,49,14971
03-05 11:26:42,deepseek-v3,86,15057
03-05 11:26:24,gpt-4o-mini,49,15106
03-05 11:25:46,deepseek-v3,76,15182
03-05 11:25:23,gpt-4o-mini,42,15224
03-05 11:24:50,deepseek-v3,77,15301
03-05 11:21:37,gpt-4o-mini,39,15340
03-05 11:21:05,deepseek-v3,72,15412
03-05 11:20:47,gpt-4o-mini,34,15446
03-05 11:20:40,gpt-4o-mini,35,15481
03-05 11:20:24,gpt-4o-mini,27,15508
03-05 11:20:17,img-chatgpt-4o-latest,1000,16508
03-05 11:20:17,chatgpt-4o-latest,1694,18202
03-05 11:16:36,img-chatgpt-4o-latest,1000,19202
